 State,10-Mar,10-Mar,10-Mar,10-Mar,11-Mar,11-Mar,11-Mar,11-Mar,12-Mar,12-Mar,12-Mar,12-Mar,13-Mar,13-Mar,13-Mar,13-Mar,14-Mar,14-Mar,14-Mar,14-Mar,15-Mar,15-Mar,15-Mar,15-Mar,16-Mar,16-Mar,16-Mar,16-Mar,17-Mar,17-Mar,17-Mar,17-Mar,18-Mar,18-Mar,18-Mar,18-Mar,19-Mar,19-Mar,19-Mar,19-Mar,20-Mar,20-Mar,20-Mar,20-Mar,21-Mar,21-Mar,21-Mar,21-Mar,22-Mar,22-Mar,22-Mar,22-Mar,23-Mar,23-Mar,23-Mar,23-Mar,24-Mar,24-Mar,24-Mar,24-Mar,25-Mar,25-Mar,25-Mar,25-Mar,26-Mar,26-Mar,26-Mar,26-Mar,27-Mar,27-Mar,27-Mar,27-Mar,28-Mar,28-Mar,28-Mar,28-Mar,29-Mar,29-Mar,29-Mar,29-Mar,30-Mar,30-Mar,30-Mar,30-Mar,31-Mar,31-Mar,31-Mar,31-Mar,01-Apr,01-Apr,01-Apr,01-Apr,02-Apr,02-Apr,02-Apr,02-Apr,03-Apr,03-Apr,03-Apr,03-Apr,04-Apr,04-Apr,04-Apr,04-Apr,05-Apr,05-Apr,05-Apr,05-Apr,06-Apr,06-Apr,06-Apr,06-Apr,07-Apr,07-Apr,07-Apr,07-Apr,08-Apr,08-Apr,08-Apr,08-Apr,09-Apr,09-Apr,09-Apr,09-Apr,10-Apr,10-Apr,10-Apr,10-Apr,11-Apr,11-Apr,11-Apr,11-Apr,12-Apr,12-Apr,12-Apr,12-Apr,13-Apr,13-Apr,13-Apr,13-Apr,14-Apr,14-Apr,14-Apr,14-Apr
,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured/Discharged/Migrated,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death
Maharashtra,2,0,0,0,2,0,0,0,11,0,0,0,14,0,0,0,14,0,0,0,32,0,0,0,32,0,0,0,36,3,0,1,39,3,0,1,44,3,0,1,49,3,0,1,60,3,0,1,64,3,0,2,71,3,0,2,86,3,0,2,125,3,1,3,121,3,1,3,177,3,25,5,177,3,25,5,186,0,25,6,198,0,25,8,216,0,39,9,302,0,39,9,335,0,42,13,335,0,42,16,490,0,42,24,490,0,42,24,748,0,56,45,868,0,56,48,1018,0,79,64,1135,0,117,72,1364,0,125,97,1574,0,188,110,1761,0,208,127,1985,0,217,149,2337,0,229,160
Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0,2,0,1,0
Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Odisha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,5,0,0,0,5,0,0,0,20,0,0,0,21,0,2,0,42,0,2,1,42,0,2,1,42,0,2,1,44,0,2,1,48,0,2,1,54,0,12,1,54,0,12,1,55,0,18,1
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,3,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,5,0,1,0,7,0,1,0,7,0,1,0,7,0,1,0,7,0,1,0
Punjab,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,2,0,0,1,13,0,0,1,21,0,0,1,21,0,0,1,29,0,0,1,29,0,0,1,33,0,0,1,38,0,1,1,38,0,1,1,38,0,1,1,38,0,1,1,41,0,1,3,42,0,1,3,46,0,1,4,48,0,1,5,57,0,1,5,57,0,1,5,76,0,4,6,91,0,4,7,91,0,4,7,101,0,4,8,132,0,5,11,132,0,5,11,151,0,5,11,167,0,14,11,176,0,14,12
Rajasthan,0,2,0,0,1,2,0,0,1,2,0,0,1,2,0,0,1,2,1,0,2,2,3,0,2,2,3,0,2,2,3,0,2,2,3,0,5,2,3,0,15,2,3,0,15,2,3,0,22,2,3,0,26,2,3,0,30,2,3,0,34,2,3,0,39,2,3,0,46,2,3,0,52,2,3,0,55,0,3,0,59,0,3,0,74,0,3,0,93,0,3,0,108,0,3,0,167,0,3,0,200,0,21,0,200,0,21,0,274,0,21,0,288,0,21,3,328,0,21,3,383,0,21,3,463,0,21,3,553,0,21,3,700,0,21,3,812,0,21,3,879,0,133,3
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
